Date,Open,High,Low,Close,Adj Close,Volume
2018-03-16,51220.000000,51420.000000,50240.000000,51140.000000,31775.482422,12184900
2018-03-19,50620.000000,51340.000000,50440.000000,50740.000000,31526.947266,8218850
2018-03-20,50700.000000,51200.000000,50100.000000,51200.000000,31812.765625,8193250
2018-03-21,51780.000000,51780.000000,51060.000000,51060.000000,31725.777344,8905200
2018-03-22,51060.000000,51780.000000,51040.000000,51780.000000,32173.144531,8454100
2018-03-23,50340.000000,50720.000000,49600.000000,49720.000000,30893.175781,14854950
2018-03-26,49420.000000,50280.000000,49040.000000,50280.000000,31241.128906,10057750
2018-03-27,50320.000000,50460.000000,49080.000000,49980.000000,31054.726563,11874000
2018-03-28,49100.000000,49100.000000,48340.000000,48700.000000,30259.406250,15159450
2018-03-29,48700.000000,49560.000000,48320.000000,49040.000000,47868.425781,10067000
2018-03-30,49080.000000,49900.000000,49080.000000,49220.000000,48044.128906,7777100
2018-04-02,49000.000000,49220.000000,48500.000000,48540.000000,47380.375000,7115650
2018-04-03,47880.000000,48140.000000,47280.000000,48120.000000,46970.406250,12768250
2018-04-04,48160.000000,48260.000000,46920.000000,46920.000000,45799.074219,12384200
2018-04-05,47400.000000,49380.000000,47340.000000,48740.000000,47575.593750,13245600
2018-04-06,48000.000000,48580.000000,47400.000000,48400.000000,47243.718750,12532700
2018-04-09,48260.000000,49440.000000,48200.000000,49200.000000,48024.605469,9950400
2018-04-10,48540.000000,49220.000000,48040.000000,48880.000000,47712.253906,10984350
2018-04-11,49900.000000,49900.000000,48600.000000,48860.000000,47692.730469,10051100
2018-04-12,49440.000000,49440.000000,48880.000000,49000.000000,47829.386719,12466250
2018-04-13,49600.000000,50180.000000,49400.000000,49800.000000,48610.269531,10278300
2018-04-16,50320.000000,50600.000000,49860.000000,50340.000000,49137.371094,7877450
2018-04-17,50240.000000,50540.000000,49820.000000,49980.000000,48785.972656,7772000
2018-04-18,51000.000000,51360.000000,50580.000000,51360.000000,50133.000000,13462600
2018-04-19,52000.000000,52980.000000,51540.000000,52780.000000,51519.078125,17190550
2018-04-20,51800.000000,52260.000000,51420.000000,51620.000000,50386.792969,11761000
2018-04-23,51000.000000,52080.000000,51000.000000,51900.000000,50660.105469,11619000
2018-04-24,51840.000000,51860.000000,50080.000000,50460.000000,49254.503906,15770300
2018-04-25,49220.000000,50500.000000,49220.000000,50400.000000,49195.941406,16614600
2018-04-26,50420.000000,52160.000000,50400.000000,52140.000000,50894.371094,18046550
2018-04-27,53380.000000,53640.000000,52440.000000,53000.000000,51733.824219,30310800
2018-04-30,53000.000000,53000.000000,53000.000000,53000.000000,51733.824219,0
2018-05-02,53000.000000,53000.000000,53000.000000,53000.000000,51733.824219,0
2018-05-03,53000.000000,53000.000000,53000.000000,53000.000000,51733.824219,0
2018-05-04,53000.000000,53900.000000,51800.000000,51900.000000,50660.105469,39565391
2018-05-08,52600.000000,53200.000000,51900.000000,52600.000000,51343.382813,23104720
2018-05-09,52600.000000,52800.000000,50900.000000,50900.000000,49683.992188,16128305
2018-05-10,51700.000000,51700.000000,50600.000000,51600.000000,50367.269531,13905263
2018-05-11,52000.000000,52200.000000,51200.000000,51300.000000,50074.437500,10314997
2018-05-14,51000.000000,51100.000000,49900.000000,50100.000000,48903.105469,14909272
2018-05-15,50200.000000,50400.000000,49100.000000,49200.000000,48024.605469,18709146
2018-05-16,49200.000000,50200.000000,49150.000000,49850.000000,48659.078125,15918683
2018-05-17,50300.000000,50500.000000,49400.000000,49400.000000,48219.828125,10365440
2018-05-18,49900.000000,49900.000000,49350.000000,49500.000000,48317.437500,6706570
2018-05-21,49650.000000,50200.000000,49100.000000,50000.000000,48805.496094,9020998
2018-05-23,50600.000000,52000.000000,50400.000000,51800.000000,50562.492188,17095490
2018-05-24,52000.000000,52000.000000,51100.000000,51400.000000,50172.050781,8289275
2018-05-25,51000.000000,52800.000000,50800.000000,52700.000000,51440.992188,15207266
2018-05-28,52500.000000,53000.000000,52000.000000,52300.000000,51050.546875,9787820
2018-05-29,52200.000000,52500.000000,51300.000000,51300.000000,50074.437500,8480437
2018-05-30,51300.000000,51500.000000,49100.000000,49500.000000,48317.437500,20498098
2018-05-31,50400.000000,50800.000000,49850.000000,50700.000000,49488.773438,63491109
2018-06-01,50500.000000,51700.000000,49950.000000,51300.000000,50074.437500,13038499
2018-06-04,50800.000000,51200.000000,50700.000000,51100.000000,49879.214844,9767171
2018-06-05,51100.000000,51400.000000,50400.000000,51300.000000,50074.437500,9144100
2018-06-07,51800.000000,51800.000000,50500.000000,50600.000000,49391.160156,13590016
2018-06-08,50200.000000,50400.000000,49600.000000,49650.000000,48463.859375,16951706
2018-06-11,49750.000000,50300.000000,49350.000000,49900.000000,48707.882813,10571312
2018-06-12,49700.000000,49800.000000,49250.000000,49400.000000,48219.828125,12110569
2018-06-14,49000.000000,49000.000000,48200.000000,48200.000000,47048.492188,20971729
2018-06-15,48500.000000,48700.000000,47650.000000,47650.000000,46511.636719,17080892
2018-06-18,47600.000000,47650.000000,46200.000000,46600.000000,45486.718750,16661870
2018-06-19,47200.000000,47350.000000,46500.000000,47000.000000,45877.164063,15217971
2018-06-20,47450.000000,47600.000000,46850.000000,47000.000000,45877.164063,12959316
2018-06-21,47900.000000,47900.000000,47050.000000,47050.000000,45925.972656,10015541
2018-06-22,47000.000000,47250.000000,46200.000000,47250.000000,46121.191406,10298006
2018-06-25,47050.000000,47050.000000,46150.000000,46650.000000,45535.523438,10587711
2018-06-26,45900.000000,47300.000000,45900.000000,47000.000000,45877.164063,11223166
2018-06-27,47450.000000,48500.000000,47000.000000,47950.000000,46804.468750,15274752
2018-06-28,46850.000000,47150.000000,46600.000000,46800.000000,46021.707031,12784800
2018-06-29,46250.000000,47150.000000,46200.000000,46650.000000,45874.199219,14099635
2018-07-02,46500.000000,47150.000000,45500.000000,45550.000000,44792.496094,13112253
2018-07-03,45750.000000,46450.000000,45750.000000,46150.000000,45382.515625,10959655
2018-07-04,46700.000000,47050.000000,46050.000000,46250.000000,45480.851563,8776763
2018-07-05,46100.000000,46550.000000,45600.000000,45950.000000,45185.839844,7039773
2018-07-06,45500.000000,45850.000000,44650.000000,44900.000000,44153.304688,17843706
2018-07-09,45500.000000,46100.000000,45200.000000,45600.000000,44841.660156,11602464
2018-07-10,46200.000000,46550.000000,46100.000000,46300.000000,45530.019531,10528665
2018-07-11,46400.000000,46450.000000,45400.000000,46000.000000,45235.011719,11224077
2018-07-12,45900.000000,46250.000000,45450.000000,45500.000000,44743.328125,11828104
2018-07-13,45800.000000,46500.000000,45750.000000,46500.000000,45726.695313,11543389
2018-07-16,46800.000000,46800.000000,46000.000000,46050.000000,45284.179688,7678719
2018-07-17,46150.000000,46200.000000,45600.000000,45850.000000,45087.507813,8892953
2018-07-18,46700.000000,47200.000000,46450.000000,46550.000000,45775.863281,10952645
2018-07-19,47050.000000,47200.000000,46600.000000,46900.000000,46120.042969,9880128
2018-07-20,47000.000000,47600.000000,46700.000000,47450.000000,46660.898438,10474547
2018-07-23,47100.000000,47200.000000,46150.000000,46500.000000,45726.695313,10823782
2018-07-24,46350.000000,46600.000000,45950.000000,46150.000000,45382.515625,8261363
2018-07-25,46250.000000,46550.000000,45900.000000,46150.000000,45382.515625,7222471
2018-07-26,46100.000000,47000.000000,46000.000000,46900.000000,46120.042969,7374946
2018-07-27,46450.000000,47000.000000,46450.000000,46900.000000,46120.042969,4762460
2018-07-30,46550.000000,46800.000000,46350.000000,46500.000000,45726.695313,5723035
2018-07-31,46200.000000,46450.000000,46000.000000,46250.000000,45480.851563,8033607
2018-08-01,46050.000000,46850.000000,46050.000000,46550.000000,45775.863281,7484499
2018-08-02,46550.000000,46800.000000,45500.000000,45550.000000,44792.496094,8560924
2018-08-03,45850.000000,45900.000000,45450.000000,45750.000000,44989.167969,8274944
2018-08-06,46150.000000,46150.000000,45750.000000,45800.000000,45038.335938,6771979
2018-08-07,46300.000000,46750.000000,45900.000000,46700.000000,45923.371094,9058174
2018-08-08,47000.000000,47000.000000,46550.000000,46800.000000,46021.707031,6429338
2018-08-09,47000.000000,47050.000000,46450.000000,46900.000000,46120.042969,12010886
2018-08-10,46150.000000,46400.000000,44850.000000,45400.000000,44644.988281,16670643
2018-08-13,44950.000000,45100.000000,44650.000000,45050.000000,44300.808594,9803831
2018-08-14,44850.000000,45400.000000,44850.000000,45150.000000,44399.148438,6409259
2018-08-16,43800.000000,44650.000000,43700.000000,44250.000000,43514.117188,10088229
2018-08-17,44050.000000,44400.000000,44050.000000,44100.000000,43366.609375,6808747
2018-08-20,43500.000000,44200.000000,43500.000000,43850.000000,43120.765625,7289124
2018-08-21,43700.000000,44900.000000,43700.000000,44800.000000,44054.968750,9520270
2018-08-22,45150.000000,46200.000000,44900.000000,46100.000000,45333.347656,11641656
2018-08-23,46150.000000,46200.000000,45700.000000,46200.000000,45431.687500,6730918
2018-08-24,45900.000000,46400.000000,45550.000000,46150.000000,45382.515625,6582535
2018-08-27,46100.000000,46550.000000,46000.000000,46300.000000,45530.019531,5263782
2018-08-28,46800.000000,46950.000000,46300.000000,46550.000000,45775.863281,7365976
2018-08-29,46750.000000,46800.000000,46400.000000,46800.000000,46021.707031,5572374
2018-08-30,46950.000000,47950.000000,46700.000000,47650.000000,46857.570313,12193231
2018-08-31,47100.000000,48450.000000,47000.000000,48450.000000,47644.269531,13577454
2018-09-03,48200.000000,48300.000000,47300.000000,47450.000000,46660.898438,8595084
2018-09-04,47550.000000,47800.000000,47200.000000,47650.000000,46857.570313,6791255
2018-09-05,47300.000000,47450.000000,46400.000000,46600.000000,45825.031250,9139998
2018-09-06,46200.000000,46400.000000,45800.000000,46100.000000,45333.347656,9040553
2018-09-07,44500.000000,45200.000000,44400.000000,44900.000000,44153.304688,18285508
2018-09-10,45450.000000,45550.000000,45000.000000,45500.000000,44743.328125,9979838
2018-09-11,45550.000000,45900.000000,45050.000000,45050.000000,44300.808594,9865790
2018-09-12,44900.000000,45100.000000,44500.000000,44550.000000,43809.125000,12995269
2018-09-13,44550.000000,44750.000000,44000.000000,44050.000000,43317.437500,18277942
2018-09-14,45000.000000,45850.000000,44900.000000,45850.000000,45087.507813,12446344
2018-09-17,45550.000000,45800.000000,44900.000000,45150.000000,44399.148438,8123384
2018-09-18,44950.000000,45900.000000,44700.000000,45500.000000,44743.328125,9987090
2018-09-19,46000.000000,46200.000000,45700.000000,46150.000000,45382.515625,9367454
2018-09-20,46850.000000,47600.000000,46400.000000,47250.000000,46464.222656,13536966
2018-09-21,46550.000000,47550.000000,46550.000000,47400.000000,46611.730469,14476906
2018-09-27,46950.000000,47500.000000,46450.000000,47500.000000,47061.539063,15804586
2018-09-28,47250.000000,47250.000000,46300.000000,46450.000000,46021.230469,11270515
2018-10-01,46450.000000,46800.000000,45800.000000,46350.000000,45922.152344,6354983
2018-10-02,46450.000000,46700.000000,45700.000000,45700.000000,45278.152344,6607188
2018-10-04,45150.000000,45600.000000,44700.000000,44700.000000,44287.382813,11865327
2018-10-05,44800.000000,45500.000000,44550.000000,44700.000000,44287.382813,10544165
2018-10-08,44200.000000,45200.000000,44200.000000,44950.000000,44535.074219,6759464
2018-10-10,45250.000000,45500.000000,44500.000000,45300.000000,44881.843750,10341349
2018-10-11,44000.000000,44650.000000,43100.000000,43100.000000,42702.152344,19324537
2018-10-12,43200.000000,44650.000000,43200.000000,44000.000000,43593.843750,12640906
2018-10-15,44050.000000,44050.000000,43350.000000,43800.000000,43395.691406,7434522
2018-10-16,43700.000000,44150.000000,43350.000000,43600.000000,43197.539063,6825677
2018-10-17,44150.000000,44500.000000,44000.000000,44150.000000,43742.460938,8306193
2018-10-18,43950.000000,44450.000000,43700.000000,44050.000000,43643.382813,8347725
2018-10-19,43900.000000,44150.000000,43450.000000,43900.000000,43494.769531,7842520
2018-10-22,43450.000000,43950.000000,43200.000000,43550.000000,43148.000000,8357648
2018-10-23,43300.000000,43450.000000,42550.000000,43050.000000,42652.613281,9531231
2018-10-24,43050.000000,43100.000000,42250.000000,42550.000000,42157.230469,13522825
2018-10-25,40600.000000,41550.000000,40550.000000,41000.000000,40621.539063,19338170
2018-10-26,41100.000000,41300.000000,40400.000000,41000.000000,40621.539063,14413864
2018-10-29,40850.000000,41950.000000,40550.000000,41400.000000,41017.843750,14460521
2018-10-30,41400.000000,43000.000000,41000.000000,42350.000000,41959.074219,14205190
2018-10-31,42900.000000,43350.000000,41700.000000,42400.000000,42008.613281,17621480
2018-11-01,42450.000000,42950.000000,42150.000000,42150.000000,41760.921875,13423132
2018-11-02,43050.000000,44250.000000,42800.000000,44150.000000,43742.460938,16517112
2018-11-05,43750.000000,43800.000000,42900.000000,43800.000000,43395.691406,9426777
2018-11-06,43750.000000,43800.000000,42950.000000,43750.000000,43346.152344,7713625
2018-11-07,43600.000000,44500.000000,43400.000000,44000.000000,43593.843750,11553998
2018-11-08,44900.000000,45050.000000,44050.000000,44050.000000,43643.382813,12617397
2018-11-09,44450.000000,44850.000000,43900.000000,44300.000000,43891.074219,7318500
2018-11-12,43850.000000,45250.000000,43700.000000,45200.000000,44782.769531,8552566
2018-11-13,43900.000000,44500.000000,43400.000000,44500.000000,44089.230469,9311126
2018-11-14,44500.000000,44500.000000,43800.000000,44100.000000,43692.921875,6783344
2018-11-15,44050.000000,44350.000000,43500.000000,44250.000000,43841.539063,5864067
2018-11-16,44600.000000,44750.000000,43700.000000,44000.000000,43593.843750,7777124
2018-11-19,44050.000000,44250.000000,43450.000000,43650.000000,43247.074219,7538720
2018-11-20,42450.000000,43000.000000,42100.000000,42800.000000,42404.921875,9420664
2018-11-21,41800.000000,42300.000000,41800.000000,42100.000000,41711.382813,10769589
2018-11-22,42000.000000,42650.000000,42000.000000,42450.000000,42058.152344,5970796
2018-11-23,42450.000000,42600.000000,41900.000000,42400.000000,42008.613281,5192638
2018-11-26,42150.000000,42800.000000,42100.000000,42600.000000,42206.769531,6613009
2018-11-27,42900.000000,43100.000000,42500.000000,43050.000000,42652.613281,8367091
2018-11-28,42800.000000,43200.000000,42750.000000,43150.000000,42751.691406,6943099
2018-11-29,43850.000000,43850.000000,42900.000000,43150.000000,42751.691406,8473511
2018-11-30,43450.000000,44000.000000,41750.000000,41850.000000,41463.691406,19775519
2018-12-03,42750.000000,43400.000000,42400.000000,43250.000000,42850.769531,12110702
2018-12-04,42650.000000,42900.000000,41900.000000,42150.000000,41760.921875,14347746
2018-12-05,40900.000000,41750.000000,40850.000000,41450.000000,41067.382813,12631983
2018-12-06,40600.000000,41100.000000,40450.000000,40500.000000,40126.152344,14251826
2018-12-07,40900.000000,41400.000000,40850.000000,40950.000000,40572.000000,11433083
2018-12-10,40450.000000,40650.000000,40000.000000,40200.000000,39828.921875,14892263
2018-12-11,40600.000000,40700.000000,40200.000000,40250.000000,39878.460938,10638766
2018-12-12,40250.000000,40700.000000,40150.000000,40450.000000,40076.613281,12024279
2018-12-13,40650.000000,40750.000000,40000.000000,40000.000000,39630.769531,26254646
2018-12-14,40200.000000,40200.000000,38700.000000,38950.000000,38590.460938,19671783
2018-12-17,38650.000000,39600.000000,38650.000000,39150.000000,38788.613281,11532968
2018-12-18,38300.000000,39200.000000,38300.000000,38900.000000,38540.921875,11042101
2018-12-19,38900.000000,39350.000000,38850.000000,39100.000000,38739.074219,9942037
2018-12-20,38600.000000,39100.000000,38500.000000,38650.000000,38293.230469,11937617
2018-12-21,38200.000000,38650.000000,38100.000000,38650.000000,38293.230469,14947080
2018-12-24,38500.000000,39050.000000,38300.000000,38800.000000,38441.843750,9729530
2018-12-26,38400.000000,38750.000000,38300.000000,38350.000000,37996.000000,12707675
2018-12-27,38700.000000,38800.000000,38100.000000,38250.000000,38250.000000,10510643
2018-12-28,38250.000000,38900.000000,38200.000000,38700.000000,38700.000000,9900267
